ra,dec
150.39505901200002,1.97698386908
150.0077700096,2.149298189
150.02410995719998,2.2447951247
150.40499877929702,2.2784240000000002
149.89700317382798,2.323927
150.208999633789,2.2495540000000003
149.88171998110002,2.3679534797
150.0007499728,2.2513576119
150.3725199818,2.2030642287
150.0158299922,2.441884998
149.88000488281298,1.937113
150.3429899883,2.3444932296000003
150.3988499921,2.2709033063
150.4251899911,2.3120887098
150.212997436523,2.18825
150.35632999860002,2.2239851841
150.0779000039,1.9303350097
150.2876299793,1.9409972144
149.8605599648,2.3878495876
149.930148634,2.5900586043500002
150.269320001,1.8648852879
150.3912099882,2.1832612332
150.1915899984,1.9099486971000001
149.8045999734,2.1188663938
150.0861699559,2.1388651852000002
149.93043001430001,2.5224352015
149.9315500041,2.3518566953
150.490405233,2.46255213475
150.487039983,2.283044295
149.800138132,2.47034296029
150.425795746,2.16006029466
150.0070399606,1.9180055093000001
150.1393299992,2.3430127877
149.714104056,2.3241623219
150.0779199783,2.0431886141
149.645478218,2.1703070263999997
150.2847799733,1.8182696975
150.204947328,1.73579770775
149.7983099899,2.0750538948
149.8377599897,2.0277327983
150.28645324200002,1.76593267396
150.334762971,1.78843150344
150.12685816299998,1.7751008925
150.3015499717,2.2822174863
149.8893899768,1.9660288897
149.82988,1.9907
150.3187299981,2.2476906851
150.3159799771,2.3999616824000003
149.8515099905,2.4268577043
150.0364099643,2.3210737903
150.0522799732,2.3693448682
150.06365916,1.7773736653
150.36993998280002,2.3438832745
150.0305399709,2.5483153253
149.9832199963,1.9478939969
150.208439998,2.4147135687
149.91368997889998,2.2465036297
149.8452400004,2.2791557184999998
150.0465399613,2.3674578755
150.260759988,2.1179492088
150.3354199901,2.3438742316
150.1166999684,2.4250471996000003
150.458793021,1.8594495550999999
150.46088734399999,1.92274328599
150.323322894,2.51182864883
150.147919755,2.6904504449299997
150.033082847,2.58545037542
150.10134093899998,1.74652056442
150.496816511,2.0053527949000003
150.541517906,2.06299474243
150.58658014,2.18381873383
150.306417639,2.44737214885
150.38987345299998,2.6236964845
150.461251573,2.4935414153099997
149.669068324,2.1393012698
149.921281688,1.7909123794599997
150.439212948,1.9718354139900005
150.42926409999995,2.55642105152
150.452920881,2.55174771594
149.86322387200002,2.55094370102
150.06928848799998,1.77998668648
150.034276979,1.7208974305400002
149.982753011,1.8382120150299999
149.904409842,1.8689782673400002
